Id,Label,0,1,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
856201551367-02,Culture Action Europe,org,2,9,0.192758,0.205802,758.214282
81031887403-27,Kangaroo Group,org,4,8,0.210278,0.227168,579.085599
53905947933-43,DOT Europe,org,2,8,0.232734,0.25137,1593.833579
6082564924-85,Caritas Europa,org,1,7,0.239117,0.258805,4172.099494
18082924076-29,Fagbevægelsens Hovedorganisation,org,1,8,0.215167,0.230999,194.148494
7328496842-09,Finanssiala ry - Finance Finland,org,4,8,0.223814,0.245731,1888.667889
549986317203-11,VTT Technical Research Centre of Finland Ltd,org,4,8,0.22315,0.241724,1839.015626
6025320863-10,European Tyre & Rubber Manufacturers' Association,org,0,7,0.249326,0.271223,4437.19511
20620934484-91,Huis van de Nederlandse Provincies,org,0,9,0.192634,0.20423,65.350257
394491614001-72,X International Unlimited Company,org,2,8,0.212732,0.229257,323.963362
003708136830-08,FinMobility ry,org,4,8,0.190258,0.203014,48.944312
06798511314-27,European Environmental Bureau,org,1,7,0.26967,0.303792,36367.331111
819735441372-85,European Federation of Engineering Consultancy Associations,org,3,8,0.203726,0.218215,36.416654
93288301615-56,EBU-UER (European Broadcasting Union),org,2,8,0.211164,0.22799,575.066221
391796433461-57,Huhtamäki Oyj,org,4,8,0.212432,0.228831,229.776819
523642244314-94,EL*C - EuroCentralAsian Lesbian* Community,org,5,9,0.182632,0.192839,151.116467
38526121292-88,European Federation of Pharmaceutical Industries and Associations,org,1,7,0.249017,0.274969,11596.274191
750447615329-96,Norwegian Refugee Council Europe,org,1,9,0.205045,0.217487,251.075415
74989093163-18,European Boating Industry,org,1,7,0.215707,0.230941,913.732578
348369030395-22,Orano,org,4,8,0.222407,0.239659,3405.609577
79239225070-38,Lantbrukarnas Riksförbund,org,1,8,0.218291,0.235164,1746.036738
43785827982-59,UNI Europa,org,1,8,0.206808,0.221436,631.634107
31091478710-90,European Brain Council,org,1,8,0.212357,0.228584,1032.258356
8116814461-28,Bundesverband der Freien Berufe,org,0,8,0.2,0.21076,78.444418
654909925315-71,TUI AG,org,0,7,0.223648,0.241212,424.009615
90947457424-20,ENGIE,org,0,7,0.254388,0.279717,3890.433927
20210641335-88,Orgalim – Europe's Technology Industries,org,2,8,0.230327,0.246813,1304.878723
01150446981-34,European Society of Cardiology,org,1,9,0.213715,0.228118,711.798947
704948052076-27,EU-ASEAN Business Council,org,0,8,0.207736,0.220379,88.732928
201132116888-24,Bundesverband Digitalpublisher und Zeitungsverleger,org,0,8,0.21625,0.232739,624.425576
02452103934-97,Allgemeiner Deutscher Automobil-Club e.V.,org,0,7,0.225831,0.24389,946.682499
629345120630-12,"FIA European Principal Traders Association, part of FIA, Inc.",org,3,8,0.205185,0.219348,293.865173
269727723042-29,E-MOBILITY EUROPE,org,0,7,0.254603,0.279543,3673.523046
05673984520-73,Koninklijke Vereniging MKB-Nederland,org,0,8,0.208168,0.223237,396.968635
779809814433-48,Plantum,org,0,9,0.201003,0.214597,453.424936
352551438039-39,Urenco,org,4,9,0.189359,0.20092,791.680455
400397949101-89,Czech Automotive Industry Association,org,0,8,0.199139,0.211552,87.450713
