name,party,country,norm_name
Mika AALTOLA,Group of the European People's Party (Christian Democrats),Finland,MIKA AALTOLA
Maravillas ABADÍA JOVER,Group of the European People's Party (Christian Democrats),Spain,MARAVILLAS ABADÍA JOVER
Magdalena ADAMOWICZ,Group of the European People's Party (Christian Democrats),Poland,MAGDALENA ADAMOWICZ
Georgios AFTIAS,Group of the European People's Party (Christian Democrats),Greece,GEORGIOS AFTIAS
Oihane AGIRREGOITIA MARTÍNEZ,Renew Europe Group,Spain,OIHANE AGIRREGOITIA MARTÍNEZ
Peter AGIUS,Group of the European People's Party (Christian Democrats),Malta,PETER AGIUS
Alex AGIUS SALIBA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Malta,ALEX AGIUS SALIBA
Galato ALEXANDRAKI,European Conservatives and Reformists Group,Greece,GALATO ALEXANDRAKI
Grégory ALLIONE,Renew Europe Group,France,GRÉGORY ALLIONE
Abir AL-SAHLANI,Renew Europe Group,Sweden,ABIR AL-SAHLANI
Nikolaos ANADIOTIS,Non-attached Members,Greece,NIKOLAOS ANADIOTIS
Christine ANDERSON,Europe of Sovereign Nations Group,Germany,CHRISTINE ANDERSON
Li ANDERSSON,The Left group in the European Parliament - GUE/NGL,Finland,LI ANDERSSON
Rasmus ANDRESEN,Group of the Greens/European Free Alliance,Germany,RASMUS ANDRESEN
Barry ANDREWS,Renew Europe Group,Ireland,BARRY ANDREWS
Mieke ANDRIESE,Patriots for Europe Group,Netherlands,MIEKE ANDRIESE
Vytenis Povilas ANDRIUKAITIS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lithuania,VYTENIS POVILAS ANDRIUKAITIS
Mathilde ANDROUËT,Patriots for Europe Group,France,MATHILDE ANDROUËT
Marc ANGEL,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Luxembourg,MARC ANGEL
Gerolf ANNEMANS,Patriots for Europe Group,Belgium,GEROLF ANNEMANS
Lucia ANNUNZIATA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,LUCIA ANNUNZIATA
Giuseppe ANTOCI,The Left group in the European Parliament - GUE/NGL,Italy,GIUSEPPE ANTOCI
Pablo ARIAS ECHEVERRÍA,Group of the European People's Party (Christian Democrats),Spain,PABLO ARIAS ECHEVERRÍA
Pascal ARIMONT,Group of the European People's Party (Christian Democrats),Belgium,PASCAL ARIMONT
Bartosz ARŁUKOWICZ,Group of the European People's Party (Christian Democrats),Poland,BARTOSZ ARŁUKOWICZ
Sakis ARNAOUTOGLOU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Greece,SAKIS ARNAOUTOGLOU
Anja ARNDT,Europe of Sovereign Nations Group,Germany,ANJA ARNDT
Konstantinos ARVANITIS,The Left group in the European Parliament - GUE/NGL,Greece,KONSTANTINOS ARVANITIS
Jaume ASENS LLODRÀ,Group of the Greens/European Free Alliance,Spain,JAUME ASENS LLODRÀ
Francisco ASSIS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Portugal,FRANCISCO ASSIS
Daniel ATTARD,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Malta,DANIEL ATTARD
Manon AUBRY,The Left group in the European Parliament - GUE/NGL,France,MANON AUBRY
René AUST,Europe of Sovereign Nations Group,Germany,RENÉ AUST
Petras AUŠTREVIČIUS,Renew Europe Group,Lithuania,PETRAS AUŠTREVIČIUS
Adrian-George AXINIA,European Conservatives and Reformists Group,Romania,ADRIAN-GEORGE AXINIA
Malik AZMANI,Renew Europe Group,Netherlands,MALIK AZMANI
Thomas BAJADA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Malta,THOMAS BAJADA
Jeannette BALJEU,Renew Europe Group,Netherlands,JEANNETTE BALJEU
Laura BALLARÍN CEREZA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,LAURA BALLARÍN CEREZA
Jordan BARDELLA,Patriots for Europe Group,France,JORDAN BARDELLA
Katarina BARLEY,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,KATARINA BARLEY
Dan BARNA,Renew Europe Group,Romania,DAN BARNA
